,Unnamed: 0,id,POI,rating,recensione,GS,1,2,3,4,5,MULTILINGUAL
0,0,66374440e18e1c186ce07e35,Palazzo Cesi,5,"Un palazzo appena restaurato, una ricca documentazione in ogni stanza e un'app per aiutare ancora di più. Non mancano gli affreschi, le documentazioni scientifiche ... insomma è da non perdere",positive,0.0048494506627321,0.0094455434009432,0.0633937865495681,0.3921644985675812,0.5301467180252075,positive
1,1,66374440e18e1c186ce07e35,Palazzo Cesi,5,Cinquecentesca dimora di una tra le famiglie illustri umbro - romane . Molto ben organizzati con ologrammi e proiezioni che guidano  all'interno e in più noi abbiamo avuto l'occasione di avere un'oretta come  guida il giovane Simone  . Visita interessante e consigliata .,positive,0.0010221032425761,0.0018085854826495,0.0331514962017536,0.4380188286304474,0.5259990096092224,positive
2,2,66374440e18e1c186ce07e35,Palazzo Cesi,4,"L'imponente palazzo in stile rinascimentale è di per sé molto bello sia dal punto di vista architettonico che da quello decorativo ed anche la sua storia è di particolare interesse. Per questi motivi ho preferito chiedere una visita guidata che a questo punto non mi sento di consigliare  almeno secondo le modalità con cui è stata effettuata. Nelle varie sale del pianterreno ed in una sala del piano superiore sono stati installati degli ologrammi dei vari personaggi importanti della famiglia Cesi che narrano le loro vicende storiche. Fin qui ben fatto. La guida incentra invece le sue spiegazioni soprattutto sulle vicende artistiche e sulle decorazioni pittoriche. Ben fatto anche questo e la guida è stata brava e gentile. Peccato però che le due cose si vengono a sovrapporre e mentre parla la guida parla anche il personaggio, vi lascio immaginare con quale confusione. Ho detto alla guida che sarebbe auspicabile un'integrazione tra le due cose e finché questa non avviene credo che sia meglio lasciare da parte la visita guidata. Il palazzo merita decisamente di essere conosciuto.",positive,0.0044074947945773,0.0632418245077133,0.5140020251274109,0.3855260908603668,0.0328226238489151,neutral
3,3,66374440e18e1c186ce07e35,Palazzo Cesi,4,"Particolari elogi vanno per il recupero e consolidamento di questa significativa, importante dimora. Non ultimo, per averla resa fruibile ad un vasto pubblico, cosa non comune, mediante un'ampia sezione museale che ti porta a visitare anche i loggiati, lo scalone, il cortile d'onore e il giardino superiore... È tutto molto interessante, ma su cui bisogna lavorare di più, per renderlo più appetibile, bello e curato.
Un suggerimento, che mi preme indirizzare all'università di Perugia e a chi coordina il tutto:
1- I pannelli che introducono i vari argomenti sono davvero ben fatti, curati, ricchi di particolari. Personalmente, però, avrei posto un distinguo tra gli ""argomenti trattati"" e la ""descrizione della stanza"" in cui uno si trova; soprattutto, essendo quest'ultima relegata in basso, da ultimo, nel pannello e quindi di non facile lettura. Normalmente questa la si incontra appena ci si introduce in una stanza: poi c'è chi vuol leggerla e chi no;
2- I pannelli per una loro attenta lettura hanno bisogno di tranquillità, di silenzio... E non di una proiezione (seppur accattivante), in continuo divenire (essendo ciclica), con personaggi dell'epoca, in costume, che ti parlano addosso e ti disturbano nella lettura;
3- Al piano terra, appena si entra, il visitatore viene letteralmente 'bombardato' da tante, troppe informazioni. Si ha davvero difficoltà a seguire gli audio, di ogni singola proiezione, poiché quelli (a tamburo) provenienti dalle stanze limitrofi, si accavallano e sovrammettono a quello della stanza in cui uno si trovava;
4- Poiché il palazzo è molto vasto e, talvolta, si passa anche in ambienti e stanze spesso vuote, o di scarso interesse (ciò, in particolare, al piano superiore) - non essendovi qui affreschi o soffitti lignei, a cassettoni, da dover descrivere -, ebbene, proprio in queste stanze, opportunamente offuscate e ovattate, andrei a collocarvi delle comode sedie, potendosi così godere, comodamente, la proiezione di ogni singolo video, facendo però sempre attenzione di non arrecare danno alle stanze adiacenti;
4- Insomma, avendo tanto spazio, dilaterei il tutto, in modo da rendere ancora più accattivante e di maggior interesse questo bel percorso culturale: alla scoperta di importanti figure poliedriche, incentrate in particolar modo su Federico Cesi e la sua Accademia dei Lincei...",positive,0.0106312101706862,0.0892892628908157,0.340010792016983,0.5049136877059937,0.0551550015807151,positive
4,4,66374440e18e1c186ce07e35,Palazzo Cesi,4,"Palazzo Cesi di Acquasparta é il principale monumento del borgo.
Visitabile con un esiguo biglietto di 6 euro, venne fondato dal Duca Federico Cesi nel Seicento, e nelle sue sale venne ospitato Galileo Galilei.
Il prospetto esterno, che dà sulla piazza principale, si presenta, nell’ordine inferiore, con uno splendido portale rinascimentale a tutto sesto, ornato da una cornice in conci bugnati.
L’interno é impreziosito da un susseguirsi di sale che presentano splendide volte affrescate, in eccellente stato di conservazione, mentre altre sono ornate da elaborati soffitti lignei. Gli affreschi presenti, narrano vicende legate alla mitologia.
La struttura del palazzo é edificata su due piani, piano terra e primo piano, entrambi visitabili. Splendido é anche il loggiato del primo piano, ove si affacciano le stanze. Le varie sale che si susseguono nel percorso di visita sono  consequenziali tra loro, sia al piano terra che al primo, pertanto non c’é alcun rischio di perdersi nel palazzo o di saltare qualche ambiente.
Visita obbligatoria nel borgo di Acquasparta.",positive,0.0026113386265933,0.0046866345219314,0.0430960617959499,0.3947845697402954,0.5548213720321655,positive
5,5,66374441e18e1c186ce07e36,Chiesa di Santa Cecilia,3,"Frequento Acquasparta  da piccolo,  mia madre ne era  nativa,  LA chiesa e'dedicata Alla Santa protrettrice Del borgo , chiesa Del 200, con architettura propria Del tempo ",neutral,0.0096810329705476,0.027256915345788,0.1921217590570449,0.4416481852531433,0.3292921483516693,positive
6,6,66374441e18e1c186ce07e36,Chiesa di Santa Cecilia,5,"Risale al XII secolo  , di notevole interesse la cappella Cesia  , la chiesa conserva diverse tele del XVI - XVIII secolo e la tomba di Federico Cesi fondatore dell'accademia di Lincei  .",positive,0.0091059440746903,0.0190269723534584,0.1903367489576339,0.468325138092041,0.3132052421569824,positive
7,7,66374441e18e1c186ce07e36,Chiesa di Santa Cecilia,3,"La chiesa ha subito molti rimaneggiamenti e restauri. Le primitive origini romaniche restano visibili nella parte absidale esterna, mentre l'interno ha eleganti forme rinascimentali. Diverse cappelle laterali appartengono a famiglie di cui sono raffigurati gli stemmi gentilizi e tra queste c'è la famiglia Cesi. E' un edificio ben tenuto ma di limitato interesse artistico.",neutral,0.035671092569828,0.2156862467527389,0.4096079170703888,0.2703322768211365,0.0687024071812629,neutral
8,8,66374441e18e1c186ce07e37,Lago Di Arezzo,4,"Lago di medie dimensioni,conosciuto soprattutto dai pescatori.Formalmente non balneabile come quasi tutti gli invasi artificiali ma non ci sono pericoli se si fa il bagno lontano dalla diga.C'è un percorso da trekking che gira attorno a quasi tutto il lago ma al momento non so se è percorribile per la vegetazione presente.In auto è facilmente raggiungibile,lasciando l'auto fino al borgo di Firenzuola e da lì scendendo a piedi.Altro punto di accesso da Messenano,con strada bianca e dissestata,ideale per fuoristrada o moto.Davvero poco frequentato e ombreggiato per le calde giornate estive.",positive,0.0134933972731232,0.1542142331600189,0.5702545642852783,0.2385392785072326,0.0234984681010246,neutral
9,9,66374441e18e1c186ce07e38,Frantoio Oleario Palmadori Massimo,5,"Conosco la famiglia Palmadori da anni e frequento da sempre il loro frantoio. La straordinaria competenza di Massimo, la tradizione ultracentenaria e l'innovazione delle nuove generazioni garantiscono un prodotto senza eguali. La gestione, veramente familiare, è accoglienza e sorriso, professionalità e serietà. E non è solo olio extravergine. Straordinario l'olio al tartufo e le lavorazioni in legno d'ulivo. 
Un ambiente accogliente e curato dove si respira l'amore per il proprio lavoro e per i prodotti della terra. 
Lo consiglio a chi vuole provare un prodotto di qualità affidandosi a mani sapienti.",positive,0.0008300131885334,0.0017151118954643,0.0206347107887268,0.3622657358646393,0.6145544052124023,positive
