qui possiamo ammirare resti porta accesso antico maniero costruito epoca longobarda	train
posizione dominante valle risacco val rasina rispettivamente affluente chiascio torrente proveniente gualdo tadino casacastalda abitato originato castello fondato secolo longobardo discendente totila ernero castaldo nome casa castaldo	train
collegiata santa maria assunta risale stile aspetto attuale seconda meta	train
unica navata ampia luminosa due nicchioni due cappelle soffitto altissimo travatura capriata dedicata patrona santa marina monaca	train
contesto urbano datazione secolo chiesa san francesco trova san gemini piazza san francesco ubicata ridosso castello altomedievale allainterno cerchia muraria tardoduecentesca	train
antico romitorio luogo pace spiritualita	train
basilica san benedetto prospiciente piazza omonima fulcro centro storico citta norcia	train
laodierno santuario madonna rimedi laantica pieve extraurbana situata circa sud centro storico pietralunga	train
collegiata santa maria trova cascia entro perimetro murato accanto porta leonina	train
chiesa santa maria maggiore custodisce cappella interamente affrescata pintoricchio commissione troilo baglioni fine dellaestate primavera	train
costruito fortificazione colle orvietano perugino conteso capitani ventura oggi castello montegiove elegante residenza aperta pubblico visitabile anno	train
presepe trova piazza san valentino vicino chiesa parrocchiale ingresso stato realizzato magnifico portone ante visibili magi nativita	train
collocato propaggini sud orientali dellaumbria ramo sconfina lazio lago piediluco rappresenta pia grande bacino lacustre naturale dellaumbria dopo trasimeno	train
basilica paleocristiana san salvatore maggior monumento spoletino antichita	train
antico mulino macine pietra situato sponde fiume chiascio pressi torgiano	train
borgo medievale panicale capolavori perugino arte ricamare tulle	train
castello attigliano sorge posizione pittoresca panoramica margine terrazza dominante valle tevere toponimo secondo tradizione popolare deriverebbe numerosi tigli crescevano vicinanze latino tiliam	train
costruita antico oratorio benedettino chiesa san bernardino trova poco lontano centro abitato montefranco	train
incantevole borgo medievale due passi deruta	train
chiesa parte abbazia benedettina santa maria vado fabrice alcuni studiosi indicano luogo francesco trova ospitalita dopo aver abbandonato citta durante tragitto gubbio	train
piccolo monumento pietra trova vicolo tempietto angolo centrale via umberto	train
oratorio san bernardino rappresenta massimo esempio arte rinascimentale perugia	train
area archeologica estende pianura fuori mura medievali occidentali gubbio	train
chiesa santa maria assunta esempio edificio sacro romanico impianto architettonico poco comune regione navata unica absidata transetto sporgente tiburio cupola incrocio bracci nucleo principale annessa navatella addossata parete destra	train
santuari rinascimentali pia importanti umbria	train
antica abbazia santi fidenzio terenzio risale secolo quando vicino monastero stabilita comunita monaci benedettini resse complesso fino conclusione xiv secolo	train
prima testimonianza chiesa san biagio risale documento monaci san benedetto subasio includono possedimenti	train
chiesa maria simbolo fulcro comunita terra lugnano	train
centro orvieto vicino giardini comprendono resti etruschi trova pozzo san patrizio seconda attrazione cittadina dopo duomo	train
ferentillo viaggio arte cultura sport avventura	train
porta romana pia centrale maestosa quattro porte permettono accesso centro storico pia moderna quattro aspetto attuale risale infatti sec xvi quando modificata costruita travertino	train
santuario san francesco eremo francescano trova monteluco metri altitudine pressi antico bosco sacro alcune grotte naturali frequentate eremiti gia eta paleocristiana	train
deruta citta ricca eventi culturali	train
tratta grande camera sepolcrale scoperta pressi borgo bettona	train
chiesa san nicola sorge allainterno montecastrilli chiesa parrocchiale paese	train
grande cultura gastronomica vero protagonista denominazione origine trebbiano spoletino vitigno recentemente riscoperto valorizzato	train
complesso conventuale santa giuliana trova rione porta eburnea parte terminale giardini piazza partigiani perugia	train
villa costruita territorio comune allerona ricchissimo finanziere anversa edouard cahen	train
chiesa san francesco conosciuta madonna croce trova uscita paese sellano	train
