area boschiva oltre situata altitudine fra metri destinata dalla comunita montana parco attrezzato	train
vicino stroncone borgo medievale arroccato colle ricoperto uliveti gelosamente protetto dalle solide mura castellane cela vero proprio luogo sogno circa mille metri altitudine	train
gole del nera dove natura cultura storia incontrano oltre duemila anni atmosfera unica sono una degna prosecuzione della valnerina dopo attraversamento della conca ternana del fiume nera	train
rocca trova nell isola polvese che insieme all isola maggiore alla minore occupa bacino del lago trasimeno	train
laisola maggiore seconda per grandezza del lago trasimeno presenta ricoperta una fitta vegetazione olivi lecci cipressi differenza dellaisola polvese della minore ancora oggi urbanizzata presenta infatti piccolo villaggio sulla riva occidentale	train
per raggiungere santuario della madonna dei miracoli bisogna recarsi castel rigone piccola frazione passignano sul trasimeno	train
piediluco borgo medievale sull omonimo lago breve distanza terni dalla cascata delle marmore	train
detto anche castello palazzo marchionale edificio storico forme medievali rinascimentali situato nel borgo monte santa maria tiberina	train
paciano piccolo borgo medievale adagiato sulle colline del lago trasimeno con ricco patrimonio artistico	train
avigliano umbro piccolo borgo origine romana che sorge sulla sommita colle meta distanza tra todi amelia	train
eggi borgo fortificato due passi dalla via flaminia spoleto dove potrai scoprire preziosi capolavori arte	train
rocca monaldi erge isolata nei pressi magione contornata folta vegetazione con molta probabilita eretta nel xiv secolo nel corso del tempo suba alcuni cambiamenti per renderla pia conforme all uso abitativo	train
chiesa convento sant agostino sorge sulla sommita colle coperto olivi poco sud del colle corciano	train
museo del merletto trova nel palazzo delle opere pie all interno del piccolo villaggio posto sulla riva occidentale dell isola maggiore	train
alle spalle spoleto bosco sacro meditazione preghiera scelto anche san francesco	train
centro paleontologia vegetale stato realizzato alla fine degli anni per supportare attivita studio sulla foresta fossile dunarobba ricostruendone caratteristiche geologiche climatiche faunistiche attraverso reperti pannelli esplicativi modelli scala	train
affascinante borgo umbro circondato colline boschi verdi vallate che offrono visitatore bellissime sfumature colori tutte stagioni dell anno	train
abbazia sant eutizio sorge breve distanza preci	train
rocca passignano sorge allainterno del paese posizione leggermente sopraelevata rispetto allaabitato sviluppatosi successivamente lungo riva del lago passignano significa aluogo del passoa cia riferimento probabilmente allaesistenza una struttura militare romana che controllava famoso apassoa via collegamento tra nord sud della penisola	train
museo nato nel grazie alla passione alcuni cittadini della locale pro loco alla cui iniziativa deve ricerca raccolta oggetti legati lavoro dei campi alle attivita domestiche artigianali	train
palazzo baldeschi sorge allainterno del piccolo borgo paciano	train
ricchissimo percorso espositivo anche interattivo nel caratteristico borgo san feliciano sulle sponde del lago trasimeno per conoscere laorigine del bacino lacustre sviluppo delle attivita ittiche esso legate	train
nato come ospedale dei cavalieri gerosolimitani attuali cavalieri malta intitolato giovanni battista nucleo originario del castello edificato alla meta del secolo xii non lontano dallaimportante asse viario tra perugia trasimeno toscana	train
edificato nei pressi magione castello zocco domina dall alto lago trasimeno nei secoli rappresenta pia possente insediamento militare della zona disponendo ben sette torri cui oggi rimangono cinque tre porte una poderosa cinta muraria	train
museo odierno sezione paciano del sistema museo diffuso dell archidiocesi perugia citta della pieve nasce collaborazione con soprintendenza beni storici artistici dell umbria dalla volonta valorizzare conservare pezzi memorie del passato della comunita cosa come gia ideato don aldo rossi nel	train
museo del vetro piegaro allestito all interno dell antica fabbrica del vetro risalente primi dell ottocento posta nel centro storico del paese	train
palazzo del capitano del popolo detto anche palazzo del capitano del contado trova alla fine via fusaiola nei pressi piazza coragino corciano	train
palazzo dei priori della mercanzia trova lungo corso principale corciano corso rotelli dove allineano tutti palazzi pubblici che documentano rilevanza politica economica del castello nel medioevo	train
palazzo della corgna certamente pia rilevante delle dimore signorili citta della pieve	train
casa romana esempio abitazione signorile della prima eta imperiale stile degli affreschi dei mosaici tipo muratura collocano casa romana nel secolo	train
complesso san francesco montone insediamento francescano risalente xiv secolo costituito dalla chiesa gotica dalla pinacoteca ospitata nell adiacente convento chiostro risalente xvi xvii secolo	train
palazzo del capra chiamato anche palazzo nardo sorge all interno del paese tuoro appena usciti dal centro abitato direzione sanguineto	train
piccola chiesa della madonna della crocetta sorge sulla strada che conduce paese piegaro	train
alla scoperta del pittoresco borgo medievale frazione massa martana tra storia archeologia natura	train
esistono due tipologie prosciutto norcia primo chiamato tipico norcia viene stagionato per massimo anno mentre secondo antico norcia viene stagionato per ben due anni	train
collegiata san michele arcangelo chiesa parrocchiale panicale	train
santuario della madonna della carraia situato lungo strada che congiunge localita panicarola quella carraia edificato nella seconda meta del xvii secolo	train
tempietto del clitunno piccolo sacello forma tempio trova nel comune campello sul clitunno piedi del castello pissignano dominante valle spoletina	train
una citta sotto citta dove nasconde affascinante intricato complesso cavita create dallauomo nei secoli	train
ubicata all interno dell abitato castiglione del lago rocca del leone domina parte orientale questo che protende verso lago trasimeno	train
poco distante dal lago trasimeno trova mugnano pittoresco borgo conosciuto nel mondo per suoi muri dipinti	train
teatro caporali sorge allainterno centro storico del borgo panicale merita essere visitato sia per laeleganza della struttura interna riccamente decorata sia per gli spettacoli teatrali che vengono allestiti	train
inaugurato nel museo sede nella cinquecentesca chiesa sant agostino panicale	train
santuario mongiovino della madonna mongiovino sorge breve distanza panicale circa appena sotto laantico castello mongiovino	train
santuario della madonna delle grondici sorge una posizione panoramica molto suggestiva nei pressi della frazione tavernelle nel comune panicale	train
chiesa della madonna della stella situata nella parte meridionale del piccolo borgo paciano appena fuori porta rastrella	train
nuovo spazio dedicato all arte contemporanea creato collezionisti angela massimo lauro per esporre parte della loro collezione personale	train
laimpianto strozzacapponi costituisce perfetto esempio necropoli organizzata secondo preciso disegno rito sepoltura quello dellaincinerazione normalmente utilizzato nel territorio perugino eta ellenistica corpo del defunto veniva bruciato ceneri raccolte allainterno urne travertino olle ceramica	train
chiesa parrocchiale santa maria assunta trova vicino alla piazza principale corciano intitolata coragino fondatore della citta che secondo antica leggenda era mitico compagno dell eroe greco ulisse	train
castello pieve del vescovo cosa chiamato percha secoli proprieta della mensa arcivescovile perugia sorge verde colle che domina valle del caina chilometro dal borgo corciano	train
the palazzo municipale corciano found corso cardinale luigi rotelli	train
produzione artigianale manufatti lino puro telai manuali fine secondo disegni originali medioevali rinascimentali	train
merletto orvietano tra tradizione innovazione arte antica impieghi moderni	train
antica tipografia fondata nel che utilizza per lavorazioni gli antichi macchinari impiegati nel passato tecniche tradizionali	train
punto condivisione tante storie cammino	train
costruita intorno xiii secolo torre dell orologio monteleone spoleto una delle tre porte della seconda cinta muraria	train
